dataset,alpha,group,seed,e_star,best_val_acc,auc_val,final_gen_gap
Wine,1.0,Baseline-Half,16,164,0.9642857313156128,175.35714499652386,0.0357142686843872
Wine,1.0,Baseline-Full,16,39,0.9642857313156128,56.14285781979561,0.0357142686843872
Wine,0.0,Distill-S,16,184,1.0,199.9464285224676,0.0
Wine,0.2,Distill-S,16,80,0.9642857313156128,93.07142978906631,0.0357142686843872
Wine,0.4,Distill-S,16,152,0.9642857313156128,163.57143054902554,0.0357142686843872
Wine,0.6,Distill-S,16,78,0.9642857313156128,91.82142949104308,0.0357142686843872
Wine,0.8,Distill-S,16,87,0.9285714030265808,99.30357040464878,0.0714285969734191
Wine,1.0,Distill-S,16,152,0.9642857313156128,163.67857341468334,0.0357142686843872
Wine,0.0,Baseline-Half,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,0.0,Baseline-Full,17,104,0.9642857313156128,116.5535732358694,0.0357142686843872
Wine,0.2,Baseline-Half,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,0.2,Baseline-Full,17,104,0.9642857313156128,116.5535732358694,0.0357142686843872
Wine,0.4,Baseline-Half,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,0.4,Baseline-Full,17,104,0.9642857313156128,116.5535732358694,0.0357142686843872
Wine,0.6,Baseline-Half,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,0.6,Baseline-Full,17,104,0.9642857313156128,116.5535732358694,0.0357142686843872
Wine,0.8,Baseline-Half,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,0.8,Baseline-Full,17,104,0.9642857313156128,116.5535732358694,0.0357142686843872
Wine,1.0,Baseline-Half,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,1.0,Baseline-Full,17,104,0.9642857313156128,116.5535732358694,0.0357142686843872
Wine,0.0,Distill-S,17,299,0.9642857313156128,275.9285718649626,0.0357142686843872
Wine,0.2,Distill-S,17,299,0.9642857313156128,270.71428011357784,0.0357142686843872
Wine,0.4,Distill-S,17,299,0.9642857313156128,270.1428510993719,0.0357142686843872
Wine,0.6,Distill-S,17,299,0.9285714030265808,269.30356450378895,0.0714285969734191
Wine,0.8,Distill-S,17,80,0.9285714030265808,84.58928383886814,0.0714285969734191
Wine,1.0,Distill-S,17,66,0.9285714030265808,71.55356992781162,0.0714285969734191
Wine,0.0,Baseline-Half,18,80,0.9285714030265808,88.71428388357162,0.0714285969734191
Wine,0.0,Baseline-Full,18,299,0.9642857313156128,286.26786157488823,0.0357142686843872
Wine,0.2,Baseline-Half,18,80,0.9285714030265808,88.71428388357162,0.0714285969734191
Wine,0.2,Baseline-Full,18,299,0.9642857313156128,286.26786157488823,0.0357142686843872
Wine,0.4,Baseline-Half,18,80,0.9285714030265808,88.71428388357162,0.0714285969734191
Wine,0.4,Baseline-Full,18,299,0.9642857313156128,286.26786157488823,0.0357142686843872
Wine,0.6,Baseline-Half,18,80,0.9285714030265808,88.71428388357162,0.0714285969734191
Wine,0.6,Baseline-Full,18,299,0.9642857313156128,286.26786157488823,0.0357142686843872
Wine,0.8,Baseline-Half,18,80,0.9285714030265808,88.71428388357162,0.0714285969734191
Wine,0.8,Baseline-Full,18,299,0.9642857313156128,286.26786157488823,0.0357142686843872
Wine,1.0,Baseline-Half,18,80,0.9285714030265808,88.71428388357162,0.0714285969734191
Wine,1.0,Baseline-Full,18,299,0.9642857313156128,286.26786157488823,0.0357142686843872
Wine,0.0,Distill-S,18,299,0.9285714030265808,273.3928502202034,0.0714285969734191
Wine,0.2,Distill-S,18,299,0.9285714030265808,272.8214218020439,0.0714285969734191
Wine,0.4,Distill-S,18,288,0.9285714030265808,273.39285027980804,0.0714285969734191
